Date,Ticker,Open,Close,Volume,Sector,Industry
2020-12-10,AAL,16.75,17.99,86395200,Industrials,Airlines
2020-12-11,AAL,17.82,17.05,106957300,Industrials,Airlines
2020-12-14,AAL,17.52,16.7,88139900,Industrials,Airlines
2020-12-15,AAL,16.99,17.01,89217000,Industrials,Airlines
2020-12-16,AAL,16.88,16.86,59232600,Industrials,Airlines
2020-12-17,AAL,16.95,16.8,49386300,Industrials,Airlines
2020-12-18,AAL,16.74,16.51,74782800,Industrials,Airlines
2020-12-21,AAL,15.77,16.1,87243800,Industrials,Airlines
2020-12-22,AAL,16.34,15.48,74627300,Industrials,Airlines
2020-12-23,AAL,15.51,15.89,62603800,Industrials,Airlines
2020-12-24,AAL,16.04,15.66,31048900,Industrials,Airlines
2020-12-28,AAL,15.97,16.06,61099000,Industrials,Airlines
2020-12-29,AAL,16.32,15.86,51559500,Industrials,Airlines
2020-12-30,AAL,15.85,16.15,49520200,Industrials,Airlines
2020-12-31,AAL,16.08,15.77,57891100,Industrials,Airlines
2021-01-04,AAL,15.85,15.13,69732500,Industrials,Airlines
2021-01-05,AAL,14.92,15.43,53368200,Industrials,Airlines
2021-01-06,AAL,15.45,15.52,63708000,Industrials,Airlines
2021-01-07,AAL,15.67,15.38,48187900,Industrials,Airlines
2021-01-08,AAL,15.43,15.13,55656400,Industrials,Airlines
2021-01-11,AAL,14.82,15.0,40701300,Industrials,Airlines
2021-01-12,AAL,15.08,15.38,45742400,Industrials,Airlines
2021-01-13,AAL,15.29,15.53,42629300,Industrials,Airlines
2021-01-14,AAL,15.83,16.44,79900900,Industrials,Airlines
2021-01-15,AAL,16.17,15.76,55175800,Industrials,Airlines
2021-01-19,AAL,15.99,15.97,39740200,Industrials,Airlines
2021-01-20,AAL,16.17,16.17,42354500,Industrials,Airlines
2021-01-21,AAL,15.99,15.83,50726600,Industrials,Airlines
2021-01-22,AAL,15.57,15.82,39126600,Industrials,Airlines
2021-01-25,AAL,15.52,15.43,61954500,Industrials,Airlines
2021-01-26,AAL,15.52,15.53,44571100,Industrials,Airlines
2021-01-27,AAL,15.42,16.56,178529000,Industrials,Airlines
2021-01-28,AAL,20.33,18.1,319607600,Industrials,Airlines
2021-01-29,AAL,18.69,17.17,112735600,Industrials,Airlines
2021-02-01,AAL,17.25,16.84,49436000,Industrials,Airlines
2021-02-02,AAL,17.03,16.59,39287800,Industrials,Airlines
2021-02-03,AAL,16.61,17.6,61414800,Industrials,Airlines
2021-02-04,AAL,17.48,17.4,37606800,Industrials,Airlines
2021-02-05,AAL,17.6,17.19,30809800,Industrials,Airlines
2021-02-08,AAL,17.32,17.77,44177500,Industrials,Airlines
2021-02-09,AAL,17.74,17.44,29972900,Industrials,Airlines
2021-02-10,AAL,17.55,17.41,28503000,Industrials,Airlines
2021-02-11,AAL,17.3,16.99,38632300,Industrials,Airlines
2021-02-12,AAL,17.01,17.27,27415000,Industrials,Airlines
2020-01-02,AAPL,74.06,75.09,135480400,Technology,Consumer Electronics
2020-01-03,AAPL,74.29,74.36,146322800,Technology,Consumer Electronics
